Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
EL CARMEN;0;64.6;224.4;52;131;36.6;0;0;96;106.8;1126;260.4;0;46.6;0;388.2;910.6;2555.4;389.8;0;850.2;1273;3326
COQUIMBO;1570.4;3002.8;3659.8;2064.8;7041.2;4843;436;2512;0;8863.8;5467;7615.6;436;1846;436;1938.2;3350.4;10801.8;5424;0;14583.4;9819;10880.6
NINHUE;0;53;0;52;0;219.6;0;0;0;0;1073.2;64;0;258.6;0;115.2;811.6;375.8;145.8;0;328.2;757.8;834.8
LONCOCHE;0;2256;227;166.8;690.6;1082.2;0;431;0;853;448.4;255;0;1432.2;0;799.4;72;121;122.4;0;2933.6;6029.8;2277.4
PAINE;139;0;0;848.8;3448;3805;0;0;1768;3265;2939.4;884;556;197;0;208;631.2;3567;1429.2;0;14765;2690.4;13031
CARTAGENA;0;0;183;0;1318.6;30.4;69.86666667;0;0;886.6;1181.4;447;69.86666667;200.4;189.8666667;981;1683.4;470.4;570;0;1427.2;2030.4;1533
SANTA CRUZ;0;209;1580.8;456;447;1757;0;0;749.6;3199;2463;500;0;160;0;0;575.4;2603.4;301;0;4151.4;4658.4;6186.8
CONSTITUCION;170.2;176.2;838.2;2027;1640;508;0;0;0;2408.8;1522.2;1337;0;0;0;383.6;7278.8;1804.2;353;0;3407.8;2235;10111.4
OSORNO;0;2253;0;0;7383.4;4037;0;0;0;4659;13327;6316.4;0;4005;0;3879;3957;9188;8400.4;0;18600.2;11992.2;11544.2
ALHUE;0;0;0;191;87;138.4;0;0;19;355.4;514.8;0;0;106.4;0;1104.4;279.2;529;0;0;352.8;170;678
PRIMAVERA;0;0;0;0;0;0;0;252;0;34.2;43;0;0;0;0;137;100.4;105.4;0;0;48;88.8;0
SAN JOSE DE MAIPO;202;0;284.2;86;2006.4;242.6;39.46666667;0;529;1777.8;394;218;183.4666667;221.6;39.46666667;630;1177.6;1015;198;0;1745.2;1226.8;1008
FUTALEUFU;0;19.2;0;68;543.8;0;0;219;0;0;130;0;0;0;0;0;0;388;0;0;145.6;466.6;533
PUERTO OCTAY;0;0;0;0;161.2;70.8;0;84;0;122;440;685.2;0;70.8;0;590;949;1194;339.4;0;840.8;682.6;1210.8
MAULLIN;0;97;0;61.6;211.2;792.6;0;1197;0;82;1471;148;0;64.6;0;765;0;1537;0;0;1055.8;1941.8;2869.4
PETORCA;0;0;125;0;182;749;0;0;0;727.4;684.2;0;0;486;0;616;456.8;424;0;0;648.2;1049.8;47
SAN IGNACIO;0;137;93.8;76;1464;56.2;0;339;444;228.2;369.8;271;0;78.2;0;980;1274.4;542.2;341.6;0;1027;952.6;5520
TOLTEN;0;0;116.4;100.2;89.6;39.4;0;0;0;63;408.4;114;0;8.4;0;55.2;1911.2;213;50.4;0;1596.2;1279.6;1928.6
CERRILLOS;232;0;0;309;3966.2;698.4;302.6666667;0;3263.4;2779;1936;3616;302.6666667;1134.4;302.6666667;1241.4;2762.4;1196;477.6;0;6551;6225.4;2183
CHILLAN;0;2632.2;4460.2;2941;6975;782.4;0;0;5760.6;5316;3889;5507.8;0;4158.4;0;7651.6;7526;11444.4;7465.2;0;17732;8769.4;19829
COPIAPO;0;3139.2;1356;0;5262.8;7205.4;2671.2;0;0;7140.6;1180;2066;955.2;1042.4;1473.2;3696.8;5162.2;5183.8;4583.8;0;9817.6;9018;4656.2
QUILACO;0;10.4;189;51.2;50.4;0;35.6;0;0;35;836.8;43;5.6;0;5.6;259.6;369.8;423.8;42.6;0;463.6;539.6;685.2
ISLA DE MAIPO;0;0;156;1876.6;3184;0;0;0;1128.8;990;1150.4;489;0;210;0;65.6;820.6;2920;0;0;2687.2;2056.4;4755.2
QUINTERO;0;0;2095.4;925.4;1249.6;200.8;257.3333333;0;0;799;918.8;1071;257.3333333;200.8;257.3333333;1749;1502.4;525.6;299.6;0;2575.8;1604.8;975.4
RECOLETA;561;0;6177;1906;5224.2;1655;192;0;3922.4;22568;4215.8;5193.2;1506;1153;192;2001;1597.2;5858.2;3805.6;0;10799.6;10089.6;8134.8
PORTEZUELO;0;89;66;45;0;149.4;0;315;0;54;704.4;72;0;4.4;0;190.6;983.8;218.6;91.2;0;150;673.6;1583.4
SAN RAFAEL;75.2;44.8;944.8;195.2;196;523;0;0;0;164.2;2069.8;156;0;0;0;452.4;650.4;82.8;960.4;0;746.4;1169.2;691.8
SAN GREGORIO;0;0;0;23;85;0;0;30;0;3;12;0;0;0;0;4.8;2.6;54;5.4;0;125.2;63.4;77.2
ALTO HOSPICIO;1648;0;1459;593.2;1399.6;962.2;86.93333333;0;0;1213;4832.8;3591;250.9333333;749.2;259.9333333;1871;2226;1200.2;3399.6;0;5303;6119.8;1497.2
LLAY-LLAY;0;0;0;0;687.2;0;60;189;0;1535;805.6;0;60;0;60;1066.6;1080.8;1806;237;0;3421.8;3069.6;462.8
EMPEDRADO;13.2;18.8;394.2;55.4;54;18;0;697;0;26;73.2;45.6;0;0;0;382.2;728.6;26.4;55.2;0;83;776.2;1258.2
LA HIGUERA;105.4;36.6;167.8;29;145.8;17.6;27.73333333;101;0;280;182.6;59.4;27.73333333;11.6;27.73333333;63.4;11;607.6;37.8;0;122;382;741
CABRERO;0;65.6;3353.6;1089.2;549;0;194.2;0;0;208;2366.8;1346.2;23.2;0;23.2;746.8;1991.2;2318.6;1454.6;0;3782.8;1111.2;1783.2
EL BOSQUE;1504;0;2830.2;1379.2;3980;2575.4;434.6666667;0;4005;6484.6;2947;2144;434.6666667;374.4;434.6666667;2041.8;2269;12553.4;3238;0;15318;9368.2;3971
