Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
TIERRA AMARILLA;0;388.4;56;0;395.4;456.8;125.2;138;0;747;453.8;216;67.2;178.8;94.2;936.4;197;350.8;214.8;0;489.8;1371.8;841.4
SAN JUAN DE LA COSTA;0;131;0;295;672.2;54.8;0;0;0;84;1585;359.8;0;54.8;0;113;263.2;1610;176.8;0;462.2;1459.6;1005
LO ESPEJO;1138;0;1804;2016.4;9765.8;4688.2;261.0666667;0;2659.8;16276;2683;0;261.0666667;488.2;261.0666667;2139.2;3286;4007.2;2985.4;0;3510.4;4944;3022.2
LA SERENA;2505.6;2152;3916;2393.4;8905.4;2500.8;532.5333333;0;0;11131.4;7950.8;6351;532.5333333;1412.8;532.5333333;2402;6521.6;7304.8;4502.2;0;18040.2;15260.2;7756
ZAPALLAR;0;0;391.6;210;0;467.6;0;0;0;338;412.6;0;0;467.6;0;129.8;0;558.6;0;0;1215.6;2486.6;684
SANTA BARBARA;0;21.6;312.2;548;131.8;0;125.1333333;0;0;300;1074.4;707.4;14.13333333;0;14.13333333;140.2;1396;1424.4;313.4;0;1269;1053.4;1555
ÑIQUEN;0;311.6;182.2;123;0;60.4;0;0;0;365;867;0;0;60.4;0;351;908.2;1794;0;0;1873.2;1181.2;1919.8
HIJUELAS;0;0;0;0;364.8;521;46.66666667;0;0;472;540.8;1160;46.66666667;0;191.6666667;301;138;1611;277.6;0;1331.8;1946;1353.6
PROVIDENCIA;635;0;1060;11594.6;20188;1052;0;0;4715;8793;4679;1789;0;1639;0;6240;0;6029;2579;0;17595.2;14430.6;26677
SAN RAMON;343;0;3334;892;6600.2;1676.8;246.1333333;0;2745.8;5412;4692;0;2967.133333;318.8;246.1333333;2203.6;2823;4315.6;2873.4;0;8235.2;5112.4;2201.4
TIRUA;0;19.2;45.2;0;488;130;0;0;0;499;386;99;0;391;0;1111;583.2;360.6;858.4;0;1241.2;611.4;619.4
QUEMCHI;0;0;0;0;639;37.6;0;0;0;203.2;558;749.2;0;37.6;0;164;0;417.2;79;0;1298.4;1111;1128.2
