Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
FLORIDA;0;641.8;571.6;795;240.8;111.2;175.2666667;137;0;218;288;1132.2;12.26666667;31.2;12.26666667;0;918.6;942;659.6;0;604.6;970.2;1336.4
ALTO DEL CARMEN;0;0;0;0;344.8;460.2;0;0;0;97.2;120.8;235;0;81.2;34;86.4;284.8;391.4;0;0;351;696;165.8
SANTA BARBARA;0;23.2;352.4;540.6;150.8;0;127.1333333;0;0;296;1075;714.4;14.13333333;0;14.13333333;137.2;1392.6;1491.4;361.8;0;1365.8;1028.8;1780.2
SANTA MARIA;0;0;0;0;441.6;0;41.33333333;0;0;534;436.8;0;41.33333333;0;41.33333333;1592.2;407.4;518;159;0;792.4;2692.6;1348.6
MULCHEN;0;68;2025;321.2;1116.6;0;178.8666667;0;0;754;3497.4;1355.4;25.86666667;0;25.86666667;883.4;2066.8;465.2;432.8;0;4509.8;2349.8;1534.8
PAILLACO;0;0;0;278.8;1570;1010;0;0;0;2744.6;1244.8;187;0;0;0;233.4;719.4;4598;0;0;2175.4;3410;476.4
SAN IGNACIO;0;139.6;97.2;75;1498;56.6;0;330;434.4;218.2;365;263;0;80.6;0;1005.8;1259.8;565.2;334.2;0;1067.8;947.4;5578
DALCAHUE;0;0;0;0;2322;402.6;0;0;0;601.4;1078;0;0;67.6;0;1316;888.8;790.4;143;0;708.8;2442.6;2793.8
MEJILLONES;59.6;0;99.8;63.2;200;219.6;0;0;0;754.6;613.8;181;245;168.6;0;1283.2;86.6;397;163.4;0;540.8;1120;88.4
CURICO;0;1725.6;4275.6;3148.8;7352.8;5235.6;0;1399;2517.6;3494.4;8431;2460;0;525.6;0;2956;10360;7016.4;4743.8;0;10202.8;8190.4;18745
LAGUNA BLANCA;0;0;0;94.4;24;0;0;252;0;7;21;0;0;0;0;94.2;6.6;160;9.6;0;16;23.2;109.4
GALVARINO;0;0;1197.4;97.4;1942;259.6;0;0;0;112;476.8;167;0;269.6;0;548.8;34;718;383.8;0;1630;3012.2;481.8
MELIPILLA;0;0;1134;4021.6;11911;5361.8;0;1738;0;4453.8;2054.8;3029;849;1086.8;0;8761.6;3013.4;4063;2841.4;0;12545.8;7841.2;12244.4
PUERTO OCTAY;0;0;0;0;165.4;70.4;0;82;0;119;453;648.4;0;70.4;0;571;957.4;1176;321;0;831.2;683.2;1255.8
CABILDO;0;0;168;0;88;982.6;0;0;0;2096.8;1833.4;0;0;685.6;0;1704.2;735.2;229.6;0;0;2357;1925.8;0
