Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
11;0.02666279389458862;0.0;0.012280643050346153;0.09909547544544066;0.0897539076419751;0.013524575602018855;0.002636888636990056;0.0051796026798018955;0.030098614253618053;0.033523395832377505;0.036609079879718696;0.0029028542491197438;0.009317075509741552;0.008684760377402099;0.002636888636990056;0.026425805080667615;0.011231958924698617;0.036803983343860425;0.017009725510379735;0.0;0.22880045369386912;0.16041279518819568;0.14640872256819984
12;0.019310730935282787;0.0;0.03412046443452221;0.025186759709428505;0.08036642893287418;0.023274635593624412;0.004666288302338733;0.015351440476062307;0.06089266296197748;0.1253853240782753;0.033563684407236914;0.03206530014596251;0.031710109351392284;0.022221060127628752;0.004666288302338733;0.03308780667120909;0.02538332459198945;0.05726221109345754;0.04359033909749342;0.0;0.1247639452632939;0.148588901005434;0.054542294518177645
13;0.01640031689333892;0.0;0.03427298266964858;0.02187334539793427;0.11288189203499263;0.033873902529614905;0.004403711050173462;0.013133095202345487;0.0417028868113892;0.1284371270971464;0.04135863079950373;0.009407524043590616;0.015840221746311473;0.010358796753621358;0.004403711050173462;0.02726487857690393;0.0441452770248378;0.10073908851676533;0.03459254312831415;0.0;0.1350402241170846;0.11350224433187665;0.05636760022443319
14;0.005564491601783392;0.0;0.013728209373194872;0.02536914222693992;0.08882563298105343;0.02578002840515209;0.0;0.015486397962055087;0.03575120320800726;0.06819099859237533;0.04729991564358325;0.03782363603001206;0.013517239375465642;0.016840648486400805;0.0;0.03526830930601924;0.04261688701135417;0.10423307510563501;0.029263559954483535;0.0;0.16539447757606843;0.08058043278536929;0.14846571437504716
15;0.0;0.004500189893967315;0.02555762106888424;0.005542850937827689;0.07608292234660323;0.037020949923637234;0.0;0.004859448751048739;0.0344234813749944;0.06334408948949045;0.05338694664006531;0.038634103227765254;0.0;0.005738417413411863;0.0;0.06731862695046496;0.07872144905034109;0.08023952031109116;0.02125515860603242;0.0;0.17634477613311056;0.12312476330783946;0.10390468457342468
16;0.0;0.007794367808453567;0.04111265066264548;0.01986414820602222;0.06152271514784147;0.0457364808087759;0.0;0.020995107869703013;0.010338871785444346;0.04279076873582807;0.08577593086799447;0.01922320895675337;0.0;0.007721082119099183;0.0;0.029090071217542358;0.08156262479528141;0.10712939333733713;0.012616938807070455;0.0;0.1180930566777858;0.13173910046163775;0.15689348173478407
17;0.008086836204543545;0.01389240632216345;0.04283754526001195;0.051973637827739984;0.049268572999530115;0.03608551754451954;0.0;0.004326607038131252;0.008864325716903229;0.04643550204593174;0.08057847740455568;0.027315325562902008;0.0;0.0015691581647623949;0.0;0.03385269685274293;0.1121050075602387;0.05882216246852526;0.03193339270191785;0.0;0.11404833747613669;0.1429501512638537;0.1350543395848899
18;0.0;0.006912145209206407;0.021374205726819192;0.017059459413237256;0.06276869183020066;0.010428788158426367;0.0;0.009922847632804042;0.001966754719320586;0.05372589567506361;0.065116683424462;0.01205848672476194;0.0;0.0;0.0;0.07928016777272866;0.05320926626509715;0.051699995795705486;0.028444546424318776;0.0;0.12888514223698394;0.22426348242426744;0.17288344056659638
19;0.0;0.01711897694318179;0.024731210370759787;0.030795138599494367;0.03548332980717242;0.01480453314698107;0.0;0.0158784094236116;0.021418756184138257;0.0483842703304547;0.06013867429172249;0.027891398518157588;0.0;0.0169976983786071;0.0;0.05417037982095651;0.10174096180847177;0.0870561044256525;0.03712192609594149;0.0;0.11321273863026812;0.11553893629616331;0.17751655692826504
20;0.0;0.015406319695893046;0.03847251532755216;0.028150449372658582;0.0647340731262578;0.059989361028511407;0.03372443840271046;0.011221698362828082;0.0;0.06490996181533033;0.07295985180077899;0.04012219828436643;0.0006007745831973383;0.013669457127973246;0.0006007745831973383;0.033778275636235276;0.048451368918725056;0.05944395314570038;0.1090922828302356;0.0;0.14346429750210532;0.06414094587736796;0.09706700257837524
21;0.0;0.00554691707010076;0.07572360299013017;0.015402251331211819;0.042368369889267926;0.012142301968389724;0.013158878351545835;0.008143290310603657;0.0;0.05469587630449541;0.09240341390604516;0.04306442262074825;0.0007519359058026191;0.009414705671952014;0.0007519359058026191;0.03137854867300136;0.0924688059974642;0.06687767685159463;0.04568142289679943;0.0;0.13765123018323389;0.13252519241293745;0.11984922075887301
22;0.0;0.025783984730299605;0.05438883299798792;0.06454221906783164;0.05692717951544885;0.009675346600148836;0.0;0.011214547559328573;0.0;0.01358751826024641;0.0775982952509578;0.017602188473305587;0.0;0.022461825749014636;0.0;0.09476551087345994;0.05815888481574377;0.05407014001819133;0.051940926380198996;0.0;0.12105682037430059;0.16985129957829165;0.09637447975524378
23;0.0;0.03560314043518889;0.028497113202509677;0.0281783974102256;0.07011705713522894;0.036995644773728464;0.0;0.025034207715925776;0.0;0.03372171605927112;0.05342077159257776;0.03336712388199172;0.0;0.022747296756107326;0.0;0.060985682819383255;0.062026515151515145;0.049726338272593776;0.049181517821385655;0.0;0.14005973835268987;0.1575745060739554;0.11276323254572153
24;0.0;0.020526281069783103;0.0;0.028713184108103224;0.09352234732884059;0.021238034726634512;0.0;0.004062203797639755;0.0;0.05202745633130917;0.07865676461091377;0.012971276399984721;0.0;0.0;0.0;0.10240989372302713;0.043955128271896834;0.1166401061033744;0.016294645182122137;0.0;0.1510049614437836;0.17025078032504573;0.0877269365775412
25;0.0;0.022365645171191703;0.0;0.017003879456846095;0.06833219290378319;0.0213946579984039;0.0;0.03999988021746519;0.0;0.029451530745930765;0.11849861576308213;0.04907415587001799;0.0;0.025298819992303972;0.0;0.038981728671596716;0.03383632016074816;0.09773581063579072;0.041431281508421465;0.0;0.14755785870751653;0.12389182439281486;0.1251457978040867
26;0.0;0.0289575255504983;0.0;0.011099090576979756;0.08171100243607007;0.03420381217611475;0.0;0.00578573995996162;0.0;0.039344796569618014;0.0748557682974394;0.028513373677618692;0.0;0.03608925158350438;0.0;0.049471459271273256;0.037422295482769555;0.10871778942965604;0.02752329738350426;0.0;0.14472232860296882;0.15893107057073222;0.1326513984312909
27;0.0;0.0;0.030301673726798095;0.026328601086719305;0.0;0.025783003083328204;0.0;0.0;0.0;0.06973861658729848;0.10866913258311277;0.0;0.0;0.0;0.0;0.07030659809852102;0.07863606095029183;0.1011818492134995;0.024772947292434937;0.0;0.0924047162051001;0.18344683637096187;0.18842996480193394
28;0.0;0.0;0.0;0.04381097526214374;0.09690482253277034;0.0;0.0;0.17824634480976287;0.0;0.07651860945047677;0.06052014487741288;0.02188173412030298;0.0;0.0;0.0;0.03462501757759797;0.03475423667618074;0.10648983919823349;0.03520460324035893;0.0;0.1319688049893774;0.11070656242992714;0.06836830483545468
