Distrito;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
11;0.022559755243642846;0.0;0.010390820352348049;0.08384603956509164;0.07594201104987856;0.011443328728487573;0.002231107605992935;0.004382532797486122;0.025466849926490787;0.028364604546100656;0.0309754440981162;0.0024561447546350796;0.007883305249903608;0.007348294752548159;0.002231107605992935;0.022359235761000625;0.00950351434473181;0.031140354589663296;0.014392161818930618;0.0;0.19359119885841078;0.13572746395976068;0.12387842623436963;0.06653919426193215;0.08734710389448531
12;0.01455768193913815;0.0;0.025722219967650114;0.01898741369014836;0.06058542863602897;0.017545930465131112;0.0035177508903949436;0.01157291189583104;0.04590484030865737;0.0945235928088168;0.025302483056890587;0.024172903779371445;0.023905137912176043;0.01675167691852814;0.0035177508903949436;0.024943735542556338;0.019135597052565675;0.04316797013142867;0.032861225933247924;0.0;0.09405515714045534;0.11201595464058578;0.04111752053754153;0.09628787922708117;0.14984723663537966
13;0.012606058121122182;0.0;0.026343833130034314;0.01681288631085731;0.08676635342292159;0.026037081286581013;0.0033849002923633602;0.010094717224533619;0.0320548083541283;0.09872284173692916;0.031790196924812775;0.007231067280018497;0.012175542538849856;0.00796226041181435;0.0033849002923633602;0.0209570733444417;0.0339321448217973;0.07743282115646205;0.026589462390819316;0.0;0.10379829395862115;0.0872431854964084;0.04332679967092513;0.09186420460347959;0.13948856722971575
14;0.004381967057774864;0.0;0.010810791989747307;0.019977880007371673;0.06994906731177923;0.020301447698055884;0.0;0.012195343361030163;0.028153622279364014;0.05369955260113853;0.037248087879094616;0.029785637026688988;0.010644655773469788;0.013261798593661903;0.0;0.027773349413064127;0.033560261808790647;0.08208223394516062;0.023044684921919707;0.0;0.13024606813027367;0.06345607599687327;0.11691488030855574;0.09092351590990543;0.12158907798627983
15;0.0;0.003513132917464994;0.019951895805454256;0.004327100088018108;0.05939514226079593;0.028900895490411003;0.0;0.0037935931083550567;0.026873147223043455;0.04945040346201746;0.04167722785555921;0.03016022500920458;0.0;0.004479771650577812;0.0;0.05255317883702226;0.061454943121408055;0.06264004558216155;0.016593121429140784;0.0;0.137665887985465;0.09611897922612388;0.0811145698858295;0.08256916717662624;0.13676757188532088
16;0.0;0.0064981396162835615;0.03427548591068708;0.016560677090614616;0.0512912916644661;0.03813035837628319;0.0;0.017503554560037115;0.00861948447747191;0.0356745276033722;0.07151112036211467;0.016026328079936956;0.0;0.006437041570489023;0.0;0.024252299720088105;0.0679985005089778;0.08931343401048608;0.01051870169759367;0.0;0.09845380521735889;0.10983046845632163;0.13080159600522337;0.08146751292637894;0.08483567214581515
17;0.00644928039261078;0.01107924303565982;0.03416309341813431;0.041449159460750694;0.03929186072042093;0.028778327502951832;0.0;0.0034504843713632095;0.007069331020655476;0.037032476643660286;0.06426161990268284;0.021784068468163977;0.0;0.0012514091702786553;0.0;0.02699764512687008;0.0894041388850585;0.04691088201416567;0.025466993297862082;0.0;0.09095395134644275;0.11400324976889448;0.1077063121091113;0.0880195476143285;0.1144769257299337
18;0.0;0.005825433964802367;0.01801380327569557;0.014377411249213264;0.052900345442228505;0.008789198564420892;0.0;0.00836280082060546;0.0016575461590571685;0.04527923647178087;0.054879191309653644;0.010162679747668624;0.0;0.0;0.0;0.06681592589567549;0.044843830324927086;0.043571843815911476;0.023972561605465577;0.0;0.10862212271606954;0.18900530414770897;0.14570311186274557;0.0699442439907946;0.08727340863557526
19;0.0;0.013967687136362584;0.020178647947763063;0.025126318161785764;0.028951499318442077;0.012079290011503877;0.0;0.012955485353370452;0.01747595584847313;0.03947761320901531;0.04906824689876979;0.022757103394101766;0.0;0.01386873373208213;0.0;0.04419860602116208;0.08301231599352923;0.07103067163206421;0.030288460071429532;0.0;0.092372349018683;0.09427033634131339;0.14483901327326962;0.0877263341163875;0.09635533252049142
20;0.0;0.012152724994920781;0.03034766951923323;0.022205476483819615;0.05106316135411735;0.04732046469182775;0.0266023186332775;0.008851835926509856;0.0;0.051201904863937255;0.05755177304553828;0.031648962994813644;0.0004738995709326797;0.010782662997081801;0.0004738995709326797;0.026644786211935417;0.03821913174070262;0.04689023916485577;0.08605355065151539;0.0;0.11316668669399069;0.050595294109698576;0.07656783785492399;0.08091642139227061;0.13026929753316452
21;0.0;0.004525374536595775;0.061778040028386064;0.012565710844357047;0.0345656406668581;0.009906126853706407;0.010735486445836695;0.006643589249666477;0.0;0.04462286397237584;0.0753860299514701;0.03513350553077462;0.0006134563683335254;0.0076808556498973455;0.0006134563683335254;0.02559974907963642;0.07543937917260728;0.05456121518784296;0.0372685485216537;0.0;0.112300826590684;0.10811882053107179;0.09777730674513177;0.08526387097651988;0.09890014672826053
22;0.0;0.021181118909322734;0.04467953076763601;0.05302037024326976;0.04676474063654445;0.00794813792244604;0.0;0.009212566166673859;0.0;0.011161922525290333;0.06374572185267394;0.014459908001701;0.0;0.01845202000725967;0.0;0.07784830681949242;0.04777656626007314;0.04441772973217754;0.04266861578716849;0.0;0.0994461846744504;0.13953004591424104;0.07917004826337466;0.08807128346896277;0.09044518204724164
23;0.0;0.028513629544991363;0.02282259708064802;0.022567345888751908;0.05615492811872522;0.029628850066652633;0.0;0.020049246106918175;0.0;0.027006845676599413;0.042783307106607465;0.026722862020694058;0.0;0.018217718575537983;0.0;0.04884184783153421;0.049675423386221114;0.03982453151049236;0.039388198975654244;0.0;0.11217020309842873;0.1261973252080598;0.09030914126683438;0.09199399959239993;0.10713199894424899
24;0.0;0.01673104951111488;0.0;0.023404225212604882;0.07623041983274609;0.017311202614933987;0.0;0.003311117714479772;0.0;0.04240777688160631;0.06411342700683448;0.010572936565210623;0.0;0.0;0.0;0.08347469258960534;0.03582799167975548;0.09507379264479064;0.013281827057774758;0.0;0.12308471650323327;0.1387720564305019;0.07150655856008829;0.08238457075745353;0.10251163843726563
25;0.0;0.01793207599718849;0.0;0.01363317965269095;0.05478661879977839;0.017153568798247792;0.0;0.03207065508049477;0.0;0.023613317815209884;0.09500849035029223;0.03934612598131223;0.0;0.02028380398905408;0.0;0.031254332959785934;0.02712890506593902;0.07836152145636667;0.03321830794431483;0.0;0.11830728405428784;0.09933259664263519;0.10033799337218467;0.09082483948165947;0.10740638255855761
