;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
247;NANCAGUA;0.0;0.0;233.0;134.4;198.0;433.20000000000005;0.0;161;557.2;357.0;1667.0;284.0;0.0;171.20000000000002;0.0;1691.0;1496.4;2010.0;174.0;0.0;2078.4;1405.0;1842.6;1542;1290
248;QUILACO;0.0;9.600000000000001;207.4;52.800000000000004;57.2;0.0;36.6;0;0.0;35.0;846.8;45.0;5.6000000000000005;0.0;5.6000000000000005;278.8;366.20000000000005;407.8;46.4;0.0;510.6;547.8;752.2;473;282
249;SANTA BARBARA;0.0;24.0;333.6;546.0;144.0;0.0;119.6;0;0.0;300.0;1041.2;722.2;13.600000000000001;0.0;13.600000000000001;139.2;1442.0;1510.6;345.8;0.0;1348.6;1019.4;1700.8000000000002;1126;1199
250;BUIN;356.0;0.0;760.0;591.2;3553.0;2856.6;0.0;0;2837.6000000000004;4051.8;4350.0;1427.0;1886.0;734.6;0.0;2516.6;2040.6;2488.0;1497.2;0.0;9615.0;6805.2;9098.2;7686;9851
251;ILLAPEL;0.0;0.0;1141.2;0.0;2377.8;171.0;0.0;0;0.0;979.0;5769.400000000001;831.6;0.0;0.0;0.0;1648.6;715.2;2182.4;0.0;0.0;750.4;1172.4;1782.2;1552;1531
252;NATALES;0.0;0.0;0.0;0.0;1677.0;0.0;0.0;869;0.0;1032.0;2364.0;1247.0;0.0;0.0;0.0;0.0;1238.4;2759.0;0.0;0.0;1526.0;1388.0;754.8;1814;2185
253;LA FLORIDA;6327.2;0.0;2848.0;6528.2;13930.0;4600.2;1527.7333333333333;0;11079.2;26920.0;10041.0;0.0;3873.7333333333336;2155.2;1527.7333333333333;9622.0;4808.4;11412.0;5368.0;0.0;31759.800000000003;43745.8;16655.0;25173;40293
254;QUINTA NORMAL;380.0;0.0;1228.0;3444.0;7889.4;1093.0;166.4;0;3034.2000000000003;5679.0;3432.0;1619.0;777.4;685.0;166.4;2227.0;3803.2000000000003;11537.8;1038.6;0.0;11890.8;9368.8;8183.6;7776;14346
255;VILLA ALEMANA;0.0;1364.8000000000002;0.0;673.6;6801.8;1235.2;1010.6666666666666;3113;0.0;5072.0;3197.0;2183.6;1010.6666666666666;1235.2;2041.6666666666665;1766.6;2755.0;2342.6;2076.2;0.0;17341.0;9111.400000000001;4096.6;8214;17221
256;TOCOPILLA;0.0;0.0;131.0;0.0;1122.0;3126.4;0.0;0;0.0;738.8;1434.6000000000001;117.60000000000001;0.0;1070.4;0.0;1290.6;244.8;293.4;1303.8;0.0;281.0;1261.0;936.4000000000001;1239;2028
257;PUCHUNCAVI;0.0;0.0;286.0;422.8;2347.4;235.8;138.4;0;0.0;578.0;1033.6;472.0;138.4;178.8;138.4;644.8;535.4;706.4000000000001;238.0;0.0;1841.0;1601.0;1533.4;1713;2554
258;LANCO;0.0;0.0;0.0;1665.0;176.4;40.0;0.0;0;0.0;173.8;1542.2;121.0;0.0;0.0;0.0;906.6;984.8;2912.0;0.0;0.0;1824.6000000000001;2213.0;1278.6;1383;1511
259;CHONCHI;0.0;0.0;0.0;0.0;513.0;83.60000000000001;0.0;0;0.0;297.0;896.0;0.0;0.0;83.60000000000001;0.0;494.0;2310.4;1593.0;145.0;0.0;630.4;1829.0;3289.0;1482;1178
260;OVALLE;0.0;924.8000000000001;2204.8;477.40000000000003;1328.8000000000002;1656.2;0.0;0;0.0;8450.4;5631.8;2778.4;0.0;1325.2;0.0;1826.6;2293.0;4169.8;4153.8;0.0;7346.0;8185.6;7451.200000000001;8801;10950
261;HUALAIHUE;0.0;83.2;0.0;224.0;1135.6;0.0;0.0;0;0.0;0.0;987.0;96.6;0.0;0.0;0.0;0.0;463.0;823.0;0.0;0.0;644.0;1822.8000000000002;3197.0;708;573
262;LA PINTANA;2809.0;0.0;4305.0;1929.8;6064.4;6648.4;500.0;0;5299.0;7434.0;8385.0;3509.6000000000004;6568.0;412.4;500.0;2426.6;5613.6;7661.0;4386.0;0.0;11152.0;6319.0;5458.0;14898;20623
263;CHILLAN VIEJO;0.0;314.8;743.8;108.0;378.0;515.2;0.0;0;358.40000000000003;1102.4;1468.2;1340.2;0.0;153.2;0.0;635.2;3471.2;2157.2;1191.2;0.0;2361.4;1088.4;2289.0;2278;3403
264;CUREPTO;28.0;58.0;1085.8;65.6;102.0;317.0;0.0;0;0.0;52.0;407.0;219.4;0.0;0.0;0.0;2122.2;1042.6;396.0;64.8;0.0;555.0;1436.2;1418.4;948;731
265;RIO NEGRO;0.0;0.0;0.0;600.0;178.4;58.0;0.0;0;0.0;104.0;882.0;142.4;0.0;58.0;0.0;1050.0;0.0;1024.0;158.2;0.0;1278.6;2865.0;3005.0;877;1352
266;LO BARNECHEA;3081.0;0.0;390.0;10404.6;1386.0;406.0;0.0;0;1684.0;920.0;784.0;0.0;0.0;508.0;0.0;895.2;0.0;1155.0;1204.0;0.0;20559.2;15440.0;15186.0;4499;6011
267;LA REINA;2560.0;0.0;0.0;5805.6;8129.0;1051.0;0.0;0;3048.0;4139.0;3242.0;0.0;852.0;512.0;0.0;2291.8;1681.6;5674.0;1361.6000000000001;0.0;13722.2;8325.2;12959.0;5667;6969
268;LOTA;0.0;223.2;2590.6;1151.2;1279.2;318.6;0.0;0;0.0;4135.0;2527.0;2430.6;0.0;804.6;0.0;1496.2;2975.2;3644.0;3083.6000000000004;0.0;3338.2;5627.0;1470.6;3322;5134
269;SAN VICENTE;0.0;0.0;3925.6;0.0;2355.8;1007.0;0.0;0;0.0;526.6;6401.0;841.0;0.0;88.0;0.0;1323.6;3250.2000000000003;2560.0;0.0;0.0;5683.4;5560.6;5049.6;4118;4669
270;LEBU;0.0;111.2;1284.6;0.0;1414.4;268.0;0.0;0;0.0;1197.0;1784.0;300.0;0.0;0.0;0.0;0.0;1933.6000000000001;1006.6;735.8000000000001;0.0;3421.8;2530.6000000000004;3104.4;1695;1787
271;PERQUENCO;0.0;0.0;953.2;41.400000000000006;513.8;59.0;0.0;0;0.0;65.0;252.0;336.8;0.0;10.0;0.0;877.8;386.6;319.0;188.0;0.0;525.4000000000001;1018.6;385.6;890;700
272;MEJILLONES;62.6;0.0;96.8;63.2;192.0;175.60000000000002;0.0;0;0.0;741.8;643.2;177.0;252.0;126.60000000000001;0.0;1198.4;88.0;401.0;162.4;0.0;531.2;1034.0;90.0;931;1167
273;CALAMA;1683.6;0.0;6419.0;3670.2;644.0;9919.2;900.4;0;0.0;3173.6;5725.8;6932.2;568.4;1295.2;514.4;1013.2;5157.2;4334.6;3454.2;0.0;10093.8;5624.200000000001;3332.2;10555;18799
274;CANELA;260.0;0.0;469.6;0.0;148.2;0.0;0.0;0;0.0;2441.0;724.8;92.0;0.0;0.0;0.0;1147.4;0.0;60.800000000000004;0.0;0.0;316.0;323.2;892.6;573;356
275;QUEILEN;0.0;0.0;0.0;0.0;74.0;400.4;0.0;0;0.0;171.8;692.0;0.0;0.0;22.400000000000002;0.0;97.0;452.40000000000003;443.2;62.0;0.0;488.6;946.0;1672.6;721;234
276;LOS SAUCES;0.0;0.0;285.0;366.40000000000003;102.6;0.0;0.0;0;0.0;0.0;528.0;494.8;0.0;0.0;0.0;281.6;487.8;45.0;154.4;0.0;477.0;1028.2;1735.6;604;467
277;REQUINOA;0.0;0.0;879.0;0.0;346.8;595.4;0.0;213;0.0;869.6;1031.4;746.0;0.0;26.400000000000002;0.0;1899.0;1549.8000000000002;2112.0;0.0;0.0;3031.2;4323.2;5227.6;2361;2622
278;PADRE LAS CASAS;0.0;958.4;1228.0;2694.2;3647.6;3256.4;0.0;0;0.0;3496.4;2817.2;638.0;0.0;1653.4;0.0;4107.0;2051.0;736.0;4623.4;0.0;8919.400000000001;6989.0;1794.6;6806;8789
279;LAUTARO;0.0;1527.0;2829.2;461.4;1074.6;153.0;0.0;0;0.0;514.0;1864.0;1917.2;0.0;884.0;0.0;1883.6000000000001;1847.6000000000001;1053.0;1573.8000000000002;0.0;3443.8;4834.8;2790.6;3547;3921
280;ISLA DE PASCUA;0.0;0.0;0.0;1337.4;0.0;0.0;0.0;126;0.0;23.0;293.4;0.0;0.0;0.0;0.0;359.6;174.60000000000002;777.8000000000001;0.0;0.0;49.0;769.6;0.0;198;254
281;PELARCO;58.8;131.0;177.0;480.8;127.0;46.0;0.0;0;0.0;192.4;1260.0;307.8;0.0;0.0;0.0;405.0;761.4000000000001;74.6;102.80000000000001;0.0;1323.2;1903.0;1492.6;751;927
282;FREIRE;0.0;82.0;386.6;833.4;1068.6;814.0;0.0;0;0.0;659.0;1739.4;356.0;0.0;948.0;0.0;451.6;1914.0;1076.0;1886.8000000000002;0.0;1630.8;2062.2;2867.8;2784;2967
283;MAFIL;0.0;0.0;0.0;230.4;119.0;23.0;0.0;0;0.0;84.4;593.8;90.0;0.0;0.0;0.0;725.6;731.4000000000001;841.0;0.0;0.0;864.8000000000001;1302.6;673.4;563;624
284;CALERA;0.0;0.0;366.40000000000003;0.0;2374.0;826.2;0.0;0;0.0;3187.6;4046.4;682.0;0.0;159.20000000000002;756.0;1197.0;1353.2;3738.0;1041.6000000000001;0.0;3179.2;4346.0;1352.8000000000002;3921;5162
285;MARCHIGUE;0.0;0.0;0.0;186.0;613.0;27.200000000000003;0.0;0;0.0;96.0;112.4;36.800000000000004;0.0;27.200000000000003;0.0;390.0;796.8000000000001;932.0;0.0;0.0;753.6;745.0;3249.0;451;384
286;FREIRINA;0.0;0.0;266.40000000000003;0.0;112.0;347.2;0.0;0;0.0;497.0;815.0;0.0;0.0;91.2;49.0;24.0;72.0;629.0;0.0;0.0;125.0;609.4;790.6;406;499
287;PUMANQUE;0.0;0.0;66.8;335.8;48.0;18.400000000000002;0.0;0;0.0;109.0;509.0;442.8;0.0;18.400000000000002;0.0;0.0;505.40000000000003;223.6;56.0;0.0;792.4000000000001;376.6;403.2;450;241
288;CABILDO;0.0;0.0;157.0;0.0;131.20000000000002;1005.6;0.0;0;0.0;1815.8;1838.4;0.0;0.0;723.6;0.0;1596.8000000000002;735.2;247.4;0.0;0.0;2464.0;1729.0;0.0;1181;1424
289;PUERTO VARAS;0.0;1894.0;0.0;2718.0;3395.8;337.0;0.0;4440;0.0;425.0;2951.0;3207.2000000000003;0.0;1611.0;0.0;2165.0;0.0;3856.4;0.0;0.0;6291.2;3621.8;3182.4;4099;4478
