;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
228;QUILPUE;0.0;2229.2;552.0;0.0;12999.6;1538.8000000000002;1434.9333333333334;0;0.0;4334.0;4598.8;2017.0;1434.9333333333334;1538.8000000000002;1434.9333333333334;1773.6;5243.8;4222.0;2940.4;0.0;20549.2;13256.8;4527.4;10644;20618
229;IQUIQUE;4016.6000000000004;0.0;5078.200000000001;724.0;5341.2;5604.6;608.0;0;0.0;4066.0;3396.2;6429.8;884.0;2710.6000000000004;1678.0;4453.4;4966.6;3433.0;3578.8;0.0;15997.0;7900.4;7504.200000000001;13266;18722
230;PEMUCO;0.0;56.4;188.0;44.0;144.0;25.6;0.0;0;54.400000000000006;69.4;1180.4;108.0;0.0;37.6;0.0;65.4;65.6;618.4;487.6;0.0;301.0;1848.4;1693.0;1001;603
231;QUELLON;0.0;278.0;0.0;0.0;456.0;746.8;0.0;0;0.0;1490.0;1261.0;627.6;0.0;843.8;0.0;1784.0;0.0;1692.8;1127.6;0.0;2119.6000000000004;3968.6;6091.8;2178;1729
232;TEMUCO;0.0;9479.0;5198.0;3767.2;17405.2;7947.8;0.0;6056;0.0;3823.4;8237.4;9228.0;0.0;3839.8;0.0;11656.8;7692.400000000001;14866.0;11785.8;0.0;32394.2;29140.0;9734.0;20188;28106
233;TRAIGUEN;0.0;0.0;143.0;1258.8000000000002;783.0;0.0;0.0;0;0.0;0.0;618.4;0.0;0.0;720.0;0.0;3168.2;942.2;298.0;1321.6000000000001;0.0;1556.6;2354.2;260.4;1475;1620
234;MARIQUINA;0.0;0.0;0.0;167.8;276.8;61.0;0.0;0;0.0;294.8;2338.0;175.0;0.0;0.0;0.0;3402.2;1109.2;3357.0;0.0;0.0;1312.4;3729.8;2251.8;1837;1751
235;PORTEZUELO;0.0;89.0;61.0;47.0;0.0;137.4;0.0;297;0.0;55.0;687.6;74.0;0.0;4.4;0.0;183.8;936.2;218.4;88.80000000000001;0.0;139.0;642.6;1611.6;438;268
236;TEODORO SCHMIDT;0.0;560.0;503.8;572.6;226.4;884.4;0.0;0;0.0;311.0;586.0;141.0;0.0;14.4;0.0;1062.8;1527.8000000000002;121.0;60.0;0.0;1747.4;2402.0;2475.4;1486;1013
237;FREIRE;0.0;82.0;391.0;827.6;1105.0;789.8;0.0;0;0.0;685.0;1765.8;373.0;0.0;950.8;0.0;442.20000000000005;1903.2;1086.0;1927.0;0.0;1679.4;2092.4;2877.8;2840;2853
238;LA PINTANA;2986.0;0.0;4204.0;1992.4;5902.8;6501.2;514.4;0;5321.6;7913.0;8334.0;3502.2;10086.4;416.20000000000005;514.4;2472.0;5551.4;7498.4;4228.200000000001;0.0;11250.6;6983.8;5630.0;14673;20352
239;LLANQUIHUE;0.0;569.0;0.0;154.0;2769.2;320.0;0.0;202;0.0;381.0;1014.0;446.4;0.0;296.0;0.0;399.0;1457.6000000000001;2220.4;822.8000000000001;0.0;1568.2;403.4;1221.8;1980;1957
240;PUMANQUE;0.0;0.0;63.8;344.2;48.0;18.0;0.0;0;0.0;106.0;499.0;436.20000000000005;0.0;18.0;0.0;0.0;488.6;221.6;53.0;0.0;821.4000000000001;392.20000000000005;416.0;444;235
241;SAN ANTONIO;0.0;155.20000000000002;131.20000000000002;566.8;5751.0;916.8000000000001;352.26666666666665;0;0.0;4050.2;6529.2;1485.0;352.26666666666665;916.8000000000001;2505.2666666666664;627.0;6255.8;4217.6;608.8;0.0;6017.8;8372.2;2260.0;6401;11240
242;VILCUN;0.0;212.0;1746.6;611.2;1345.6;139.0;0.0;252;0.0;259.0;518.0;395.0;0.0;36.0;0.0;4646.2;83.0;180.0;605.8;0.0;2073.2;6842.8;620.0;2955;2494
243;NATALES;0.0;0.0;0.0;0.0;1667.4;0.0;0.0;913;0.0;1026.0;2265.0;1256.0;0.0;0.0;0.0;0.0;1259.0;2721.2;0.0;0.0;1514.8;1401.6000000000001;742.2;1760;2263
244;MONTE PATRIA;0.0;244.0;653.6;0.0;950.4000000000001;1274.8000000000002;0.0;0;0.0;1726.8;1797.8000000000002;1156.6;0.0;1274.8000000000002;0.0;780.0;2371.4;1208.8000000000002;256.0;0.0;1251.0;635.4;2290.4;2625;1836
245;SAN CLEMENTE;790.4;351.0;2531.4;411.0;1982.0;191.0;0.0;0;0.0;1289.0;2209.0;2439.4;0.0;0.0;0.0;799.6;6295.0;1698.2;486.8;0.0;2569.8;4458.0;3095.4;4116;4936
246;MAFIL;0.0;0.0;0.0;230.0;116.4;22.0;0.0;0;0.0;87.0;585.4;89.0;0.0;0.0;0.0;716.4;719.2;837.0;0.0;0.0;822.0;1300.0;676.0;591;625
