;Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND - CANDIDATURAS INDEPENDIENTES;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI;Votos Blancos;Votos Nulos
52;CAUQUENES;0.0;0.0;487.0;0.0;2658.0;0.0;0.0;495;0.0;781.0;2854.0;0.0;0.0;0.0;0.0;1545.6000000000001;2722.2;2423.6;614.4;0.0;4454.6;10099.6;5774.0;1867;2224
53;PROVIDENCIA;619.0;0.0;1042.0;11289.4;21064.0;1077.0;0.0;0;4852.0;8868.0;4574.0;1821.6000000000001;0.0;1615.0;0.0;6056.6;0.0;6152.0;2542.8;0.0;17473.4;14039.2;26565.0;8062;10011
54;COINCO;0.0;0.0;92.2;0.0;971.8;62.0;0.0;0;0.0;176.8;318.8;255.0;0.0;8.0;0.0;622.8;328.40000000000003;968.2;0.0;0.0;1200.8000000000002;1073.0;1215.6;760;725
55;RIO IBAÑEZ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;161.0;0.0;0.0;0.0;0.0;344.0;271.2;260.0;0.0;0.0;0.0;1055.4;880.0;93;115
56;ÑIQUEN;0.0;293.8;177.0;129.0;0.0;61.2;0.0;0;0.0;360.0;863.0;0.0;0.0;61.2;0.0;345.2;892.4000000000001;1850.0;0.0;0.0;1870.4;1161.4;1924.0;917;815
57;NEGRETE;0.0;20.8;511.4;54.400000000000006;108.6;0.0;195.73333333333335;295;0.0;74.0;1450.2;132.0;7.733333333333334;0.0;7.733333333333334;40.4;1203.8000000000002;1099.0;166.4;0.0;708.0;877.0;1838.8;1038;653
58;COYHAIQUE;0.0;0.0;1159.0;0.0;0.0;1183.0;0.0;0;0.0;4133.2;4030.0;0.0;0.0;0.0;0.0;2024.2;2623.2;3933.0;1794.4;0.0;3929.2;5979.0;6434.2;4160;5087
59;LUMACO;0.0;0.0;38.0;1410.2;553.6;216.0;0.0;0;0.0;6.0;267.6;0.0;0.0;0.0;0.0;686.6;575.0;419.0;49.6;0.0;1604.2;627.6;818.8;577;382
60;PORTEZUELO;0.0;87.0;62.0;47.0;0.0;143.4;0.0;310;0.0;55.0;688.2;77.0;0.0;4.4;0.0;191.6;948.2;214.4;90.80000000000001;0.0;150.0;672.2;1524.4;462;263
61;MAULE;251.6;557.6;1454.8000000000002;1682.2;988.0;140.0;0.0;0;0.0;870.4;6473.6;606.8;0.0;0.0;0.0;412.0;2441.0;565.2;939.8;0.0;3403.4;3378.4;3172.8;2504;3823
62;PUERTO VARAS;0.0;1840.0;0.0;2828.8;3338.8;334.20000000000005;0.0;4510;0.0;428.0;3086.0;3221.0;0.0;1547.2;0.0;2101.0;0.0;3872.8;0.0;0.0;6467.8;3687.6;3091.2;4079;4617
63;LOS VILOS;0.0;0.0;296.0;0.0;1719.0;0.0;0.0;0;0.0;2797.8;1460.0;230.0;0.0;0.0;0.0;695.8;744.4000000000001;1066.4;0.0;0.0;885.0;2345.4;644.8;1309;1543
64;DALCAHUE;0.0;0.0;0.0;0.0;2060.0;417.8;0.0;0;0.0;625.2;1111.0;0.0;0.0;68.8;0.0;1382.0;888.8000000000001;835.0;154.0;0.0;741.8;2306.4;1278.2;1632;1168
65;CONTULMO;0.0;16.0;361.0;98.0;301.0;93.0;0.0;0;0.0;237.0;244.0;59.0;0.0;0.0;0.0;123.0;581.0;212.0;258.8;0.0;1154.6;563.4000000000001;496.6;497;291
66;COMBARBALA;0.0;171.20000000000002;665.6;0.0;250.4;339.8;0.0;164;0.0;515.4;255.0;216.0;0.0;142.8;0.0;531.6;74.0;416.20000000000005;69.0;0.0;665.2;2150.0;467.0;1202;811
67;RANCAGUA;0.0;1684.0;0.0;879.0;11789.6;6438.0;0.0;0;9750.6;11598.0;6920.0;4338.2;0.0;1892.0;0.0;5881.4;6234.8;11125.0;6928.0;0.0;34605.0;13422.6;11486.0;15421;35456
68;LAMPA;0.0;0.0;1116.0;2027.0;4661.8;732.0;640.8000000000001;0;810.0;4364.0;5165.0;3542.2;640.8000000000001;2828.0;640.8000000000001;827.8;3878.0;4737.0;0.0;0.0;14370.0;6435.0;3550.0;5934;8484
69;OLMUE;0.0;135.0;0.0;439.6;575.6;112.4;271.4666666666667;0;0.0;537.0;1048.0;0.0;271.4666666666667;112.4;271.4666666666667;302.0;1281.6;573.0;187.60000000000002;0.0;2403.6;1776.8000000000002;916.2;1524;2167
70;CALLE LARGA;0.0;0.0;138.0;0.0;426.40000000000003;652.2;0.0;199;0.0;460.0;485.20000000000005;104.0;0.0;378.20000000000005;297.0;130.4;0.0;1756.2;207.0;0.0;732.0;2208.6;513.0;710;1113
71;ESTACION CENTRAL;366.0;0.0;799.0;1091.8;7812.4;2018.2;572.8000000000001;0;3304.2;8467.6;4216.2;1332.0;572.8000000000001;1302.2;572.8000000000001;1932.0;2486.4;4489.0;0.0;0.0;11138.8;7241.0;7551.2;10051;17715
72;VALPARAISO;0.0;810.2;1738.2;1649.0;21181.8;4579.2;1381.0666666666666;0;0.0;15574.8;3462.0;11436.0;1381.0666666666666;4579.2;4611.066666666667;7855.4;3659.2000000000003;5093.0;5492.200000000001;0.0;32495.0;10762.4;10170.4;21688;41137
73;LO PRADO;594.0;0.0;1570.0;349.0;4591.6;3278.0;124.0;0;2189.6000000000004;7182.0;2478.8;4096.0;1738.0;304.0;124.0;12171.0;3627.2000000000003;3583.0;2549.6000000000004;0.0;4589.2;6452.6;2609.2;7302;11153
74;PUERTO OCTAY;0.0;0.0;0.0;0.0;163.4;66.4;0.0;84;0.0;115.0;448.0;650.4;0.0;66.4;0.0;618.0;935.2;1215.0;329.2;0.0;860.6;698.4;1259.2;868;796
75;SAN ANTONIO;0.0;156.8;138.4;546.2;4686.2;956.0;357.06666666666666;0;0.0;3630.2;6229.4;1460.0;357.06666666666666;956.0;2538.0666666666666;583.0;5903.4;4173.2;651.2;0.0;5409.0;7810.6;2315.0;6515;11251
76;CHILE CHICO;0.0;0.0;200.0;0.0;0.0;142.0;0.0;0;0.0;348.0;807.8;0.0;0.0;0.0;0.0;218.4;494.6;462.0;0.0;0.0;308.8;478.40000000000003;649.0;254;201
77;SAGRADA FAMILIA;0.0;120.8;643.2;658.6;1316.4;707.8;0.0;0;0.0;311.4;686.0;0.0;0.0;24.8;0.0;283.0;1697.6000000000001;889.6;1174.8;0.0;1713.6000000000001;2478.0;2984.0;1450;1143
78;CALDERA;0.0;190.6;58.0;0.0;276.6;622.2;145.60000000000002;0;0.0;1088.0;188.0;219.0;89.60000000000001;129.20000000000002;502.6;809.2;683.2;715.0;111.0;0.0;776.2;1991.0;1353.4;1022;1369
79;TALCA;1764.8;2723.4;4355.2;12268.4;6643.0;4668.0;0.0;0;1928.6;13434.0;7540.4;6003.200000000001;0.0;0.0;0.0;2433.8;6937.0;7481.4;6040.6;0.0;17272.6;29052.2;9847.4;17616;25894
80;MACHALI;0.0;0.0;2549.4;460.0;2360.0;793.8;0.0;1112;0.0;3375.2;3244.6;3242.6000000000004;0.0;66.8;0.0;1957.8;2255.6;1792.4;720.8;0.0;6668.6;3224.8;2495.6;3816;5441
81;SAN JOSE DE MAIPO;205.0;0.0;293.20000000000005;85.0;2040.0;238.8;37.333333333333336;0;513.0;1715.8;369.0;219.0;181.33333333333334;218.8;37.333333333333336;628.0;1187.2;1030.0;195.60000000000002;0.0;1733.2;1224.6;1001.0;1211;1883
82;ARICA;2964.2;0.0;6565.8;389.0;3338.6000000000004;4193.6;656.2666666666668;0;0.0;6509.0;5303.6;6825.0;5563.266666666666;4621.6;1386.2666666666669;1764.2;4227.6;6150.200000000001;3222.8;0.0;20821.0;10499.4;6623.2;13831;21003
83;SANTA BARBARA;0.0;24.0;309.8;541.0;132.8;0.0;132.66666666666666;0;0.0;305.0;1069.4;722.4;14.666666666666666;0.0;14.666666666666666;133.2;1433.2;1436.0;317.6;0.0;1241.6;1059.0;1556.2;1115;1247
84;BULNES;0.0;250.0;97.0;76.0;482.0;55.8;0.0;0;157.60000000000002;1277.2;1450.4;241.0;0.0;155.8;0.0;2695.2;1502.0;1727.4;370.8;0.0;1258.2;2365.2;3657.0;1718;1842
85;ARAUCO;0.0;358.40000000000003;1023.6;0.0;2976.4;1112.0;0.0;1816;0.0;1216.0;1033.0;1285.2;0.0;222.0;0.0;650.0;2419.2;2740.8;662.4000000000001;0.0;3419.8;4032.0;3785.2;2574;2793
86;LOS ALAMOS;0.0;99.80000000000001;3733.0;0.0;488.40000000000003;136.0;0.0;0;0.0;1286.0;758.0;195.0;0.0;0.0;0.0;116.0;573.6;1730.0;1127.6;0.0;2508.2;3187.6000000000004;1632.8000000000002;1224;1224
87;PAREDONES;0.0;0.0;545.0;125.0;308.0;435.6;0.0;0;0.0;163.0;648.8;40.800000000000004;0.0;75.60000000000001;0.0;267.0;811.6;192.0;298.40000000000003;0.0;474.0;1044.6;1707.0;654;310
88;LOS ANDES;0.0;0.0;719.0;0.0;1068.2;4945.8;0.0;938;0.0;2843.0;1967.0;0.0;0.0;2412.8;951.0;1247.0;993.4000000000001;1748.8;700.0;0.0;5100.4;6773.0;4672.4;3101;5662
89;TORRES DEL PAINE;0.0;0.0;0.0;141.0;68.0;0.0;0.0;38;0.0;0.0;249.0;174.0;0.0;0.0;0.0;0.0;20.0;162.0;0.0;0.0;78.6;94.4;271.6;66;33
90;CURARREHUE;0.0;0.0;73.2;30.4;132.4;47.0;0.0;245;0.0;71.0;357.6;89.0;0.0;8.0;0.0;594.6;32.0;538.0;32.0;0.0;773.0;2786.6000000000004;400.4;953;502
91;RIO BUENO;0.0;1636.0;0.0;186.0;0.0;0.0;0.0;0;0.0;0.0;2974.0;0.0;0.0;0.0;0.0;6171.0;0.0;2705.2;540.0;0.0;3656.4;5355.8;1839.0;1955;3029
92;PEÑAFLOR;492.0;0.0;1097.0;1054.8000000000002;5016.0;0.0;0.0;5965;2802.2;7512.8;7230.0;3596.0;0.0;558.0;0.0;737.0;4659.8;4587.0;768.8000000000001;0.0;6969.2;2150.0;10662.2;5799;7617
93;SANTA MARIA;0.0;0.0;0.0;0.0;386.4;0.0;41.86666666666667;0;0.0;479.4;457.6;0.0;41.86666666666667;0.0;41.86666666666667;1375.4;400.40000000000003;514.0;157.0;0.0;809.0;2447.4;1384.4;1165;1267
94;LO BARNECHEA;3250.0;0.0;396.0;9951.6;1425.0;389.0;0.0;0;1685.0;936.0;800.0;0.0;0.0;503.0;0.0;904.6;0.0;1130.0;1241.6000000000001;0.0;20656.8;15619.2;15353.0;4757;5992
95;PAIHUANO;36.8;43.400000000000006;174.0;26.8;94.4;37.8;0.0;0;0.0;216.20000000000002;478.6;77.2;0.0;16.8;0.0;275.8;14.0;305.8;39.8;0.0;185.0;1046.4;417.6;501;403
96;CASABLANCA;0.0;0.0;49.6;415.2;4017.8;251.20000000000002;69.86666666666667;0;0.0;446.20000000000005;1216.4;467.0;69.86666666666667;251.20000000000002;218.86666666666667;327.6;669.8;766.4;336.20000000000005;0.0;1925.2;2392.6;2391.8;2109;2494
97;ZAPALLAR;0.0;0.0;381.0;215.4;0.0;476.8;0.0;0;0.0;342.0;399.4;0.0;0.0;476.8;0.0;125.8;0.0;551.6;0.0;0.0;1173.2;2497.4;717.0;639;615
98;ANTOFAGASTA;2402.2;0.0;5470.0;9536.2;13235.0;7299.6;0.0;0;0.0;14298.6;6333.2;13208.0;0.0;2796.6000000000004;0.0;3753.0;10108.8;8098.6;9192.6;0.0;27490.8;12768.8;9607.0;30743;45983
99;IQUIQUE;4020.0;0.0;5181.4;761.6;5262.2;5631.4;613.6;0;0.0;3554.0;3141.6;6376.8;881.6;2730.4;1719.6;4619.2;5095.6;3122.0;3614.0;0.0;16960.0;8007.4;7570.0;13564;18777
100;TOLTEN;0.0;0.0;115.8;98.2;93.6;37.8;0.0;0;0.0;64.0;412.2;106.0;0.0;8.8;0.0;56.0;1892.4;208.0;47.2;0.0;1644.4;1252.6;1926.8;881;694
101;TIRUA;0.0;20.8;45.4;0.0;487.8;136.0;0.0;0;0.0;500.0;383.0;102.0;0.0;388.0;0.0;1141.0;603.2;362.2;862.8000000000001;0.0;1230.2;635.4;627.4000000000001;938;673
102;LINARES;0.0;645.0;3687.4;1033.0;6673.0;0.0;0.0;0;0.0;6992.6;2816.0;772.0;0.0;0.0;0.0;4781.200000000001;2831.0;4772.6;1280.2;0.0;6989.4;19882.8;5867.6;5884;9920
103;NATALES;0.0;0.0;0.0;0.0;1603.2;0.0;0.0;806;0.0;1030.0;2332.0;1226.0;0.0;0.0;0.0;0.0;1254.6;2841.0;0.0;0.0;1533.0;1392.0;755.0;1784;2315
104;TEODORO SCHMIDT;0.0;533.0;482.0;564.2;212.6;876.8;0.0;0;0.0;306.0;568.0;151.0;0.0;14.8;0.0;1054.0;1564.4;118.0;64.0;0.0;1682.0;2149.6;2353.4;1470;976
105;DIEGO DE ALMAGRO;0.0;435.40000000000003;0.0;0.0;495.20000000000005;302.6;34.4;0;0.0;1162.0;105.6;724.0;34.4;125.60000000000001;34.4;47.0;174.2;534.0;0.0;0.0;537.0;1396.2;0.0;604;890
106;PETORCA;0.0;0.0;123.0;0.0;183.0;758.8;0.0;0;0.0;729.6;685.6;0.0;0.0;502.8;0.0;656.0;452.0;402.0;0.0;0.0;608.8;1047.4;50.0;713;770
107;MACUL;1964.0;0.0;0.0;749.6;6392.0;4349.4;585.3333333333334;0;7108.0;9953.0;5083.0;0.0;585.3333333333334;2003.4;585.3333333333334;3348.6;2021.2;5162.0;0.0;0.0;16472.8;7878.6;6050.0;7193;12319
108;LIMACHE;0.0;666.2;0.0;306.40000000000003;2516.0;434.8;433.86666666666673;439;0.0;1184.0;939.2;0.0;433.86666666666673;434.8;620.8666666666668;769.4;828.0;1693.0;692.2;0.0;5208.4;5012.6;4067.2000000000003;3659;5571
109;PICHILEMU;0.0;136.0;0.0;248.0;2384.0;1497.0;0.0;0;0.0;245.0;1112.6;132.0;0.0;126.0;0.0;92.0;2274.4;1801.0;0.0;0.0;314.0;3213.0;4915.0;881;856
110;FRUTILLAR;0.0;520.0;0.0;570.6;874.0;94.6;0.0;358;0.0;416.0;3375.0;214.4;0.0;300.6;0.0;436.0;864.0;1240.0;0.0;0.0;2642.2;2235.2;2642.6000000000004;1995;1693
111;LAS CONDES;2578.0;0.0;4315.0;20811.8;17971.0;1119.0;0.0;0;5411.0;5191.0;5540.0;0.0;0.0;2536.0;0.0;3199.2;1356.4;5163.0;3475.0;0.0;60201.6;34743.8;35355.0;14691;16564
112;NINHUE;0.0;52.0;0.0;54.0;0.0;226.6;0.0;0;0.0;0.0;1090.0;60.0;0.0;260.6;0.0;113.0;816.2;374.2;149.0;0.0;327.6;759.0;870.8;441;359
113;OSORNO;0.0;2203.0;0.0;0.0;7418.0;3977.4;0.0;0;0.0;4555.0;13481.0;6366.4;0.0;3937.4;0.0;4199.0;3762.6000000000004;9120.0;8522.8;0.0;18764.2;11563.8;11810.4;11813;18167
